artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Middle of the road;Chirpy chirpy cheep cheep;1971;703RBHUEEi5c4o4YUXAM9Q;49;0.0916;0.549;0.547;2.26e-06;0;;0.972;177800;https://p.scdn.co/mp3-preview/db570f2518e1eeb8264d4e89ecba347cde96e5c8?cid=516c2d970434462eb2b843d7317ab577;Pop;English
Miguel Ríos;El refugio;1971;6q7yMpRYB6Ynu34qtybahG;4;0.56;0.442;0.766;0.1;1;;0.704;286573;https://p.scdn.co/mp3-preview/a8d584cfeaac44acb275cf29ac0d6da9d8d80a67?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Miguel Ríos;Here comes the sun;1971;3iI8AsFhB9xw1O7QWJK3Qk;5;0.591;0.429;0.616;0.000143;1;;0.43;239413;https://p.scdn.co/mp3-preview/c80e5040346a8737350be86f03feed6cbf7fc274?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Módulos;Sólo tú;1971;0aB7LWa2csbgMCnHxQM7su;14;0.0148;0.313;0.506;0;1;;0.663;171000;https://p.scdn.co/mp3-preview/ae80fb4fe330721445be66d9a9f73f719d38edb7?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Módulos;Un nuevo día;1971;6QyZEcLnKbKO4Ey5FNrEJc;6;0.000899;0.303;0.544;0.00612;1;;0.545;277000;https://p.scdn.co/mp3-preview/aaaa2ad86a83854912c9a12ab776c32be19f8e3a?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Om;No ho sap ningú;1971;5rUEvVWQJRlirC07uB1pmJ;0;0.241;0.426;0.619;0.245;1;;0.231;383093;https://p.scdn.co/mp3-preview/f591f4aeadc29b62303e655d1caa8f7dbf477a57?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Pan y Regaliz;Dead of love;1971;28z5hnxRD6t39lLISUtdnE;4;0.00978;0.378;0.562;7.52e-06;0;;0.704;195280;https://p.scdn.co/mp3-preview/f99083b8f6bcec76e50a956f76afcb4b20a0b43a?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Pan y Regaliz;Waiting in the Monsters Garden;1971;7Az1zPbwBGUYlV1FfScaE6;7;0.0497;0.604;0.625;0.231;0;;0.779;191893;https://p.scdn.co/mp3-preview/cdac342079e8aa34586290f4c3563f00a2216193?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Paul McCartney;Another Day;1971;4CKviU05bRYvMiRRpl4GbQ;36;0.293;0.7;0.335;0.00845;1;;0.824;222533;;Pop;English
Pop-Tops;Mamy blue;1971;63saqCaMhvhaNKb9kPKtKG;30;0.779;0.593;0.435;0;0;;0.395;220290;https://p.scdn.co/mp3-preview/d46ce1f4b97da4863d62be593a00169f18468a4d?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Pop-Tops;Road to freedom;1971;5ofUMeuSwtMFHxxBnn5qF7;8;0.227;0.636;0.808;0;1;;0.565;197773;https://p.scdn.co/mp3-preview/9c427e1452b6ed9c79402fac64a7ccfea92ec6ee?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Smash;El garrotín;1971;0vi1LCyMhulllfyErMSvfI;20;0.0142;0.457;0.89;0.000123;1;;0.541;228600;https://p.scdn.co/mp3-preview/b4db5b50697368b759ad30cbf1b989e04a00a9a6?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Smash;We come to smash this time;1971;1c4w1BRwzDFDmNegYbbJxk;5;0.0264;0.504;0.471;0.000667;1;;0.482;202173;https://p.scdn.co/mp3-preview/0761e36bb61769896204afc1fa11fa3694b1edaf?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Smash;Well, you know;1971;77yWwuj2alDBtqCnTjpl7w;3;0.25;0.441;0.764;0.485;0;;0.27;183506;https://p.scdn.co/mp3-preview/2c16cb9f2a27507041617bedd4a7346a242f853e?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Tony Ronald;Help (get me some help);1971;6M1y1gCywRIiHBxXzIweR4;35;0.727;0.559;0.67;6.2e-05;1;;0.894;180584;https://p.scdn.co/mp3-preview/5099d322e255aa9917d6b7dfd4f66b981a0d2930?cid=516c2d970434462eb2b843d7317ab577;Pop;English
Alicia y Nubes Grises;L'emigrant;1972;1nxtYuaf12nFvtvbQhYB9H;1;0.243;0.206;0.507;0.000104;1;;0.358;226173;https://p.scdn.co/mp3-preview/befe81ae7f55203cfbf88fbaf6aeaa76565443fd?cid=516c2d970434462eb2b843d7317ab577;Pop;Catalan
Andrés do Barro;Amor D.F.;1972;1LzQAZ0X43wJ6L6n7vAGTG;5;0.00919;0.517;0.928;2.12e-06;1;;0.924;161466;https://p.scdn.co/mp3-preview/e337c950548e626d1874e1f2af084f1197d1c0ff?cid=516c2d970434462eb2b843d7317ab577;Rock;Galician
Barrabás;Wild safari;1972;0hlDiqc3QVR07JdhoA0XiC;26;0.13;0.674;0.801;0.0539;1;;0.926;298866;https://p.scdn.co/mp3-preview/6bcc0cb6dd575f07fd2a0a3f29105a5f3a138eaf?cid=516c2d970434462eb2b843d7317ab577;Funk;English
Barrabás;Woman;1972;0UjbqQK07aPF3Cn086sALt;30;0.0125;0.703;0.595;0.0128;1;;0.838;304040;https://p.scdn.co/mp3-preview/ba269b5f9c728fce5ca111a1e0ad060485ed8b67?cid=516c2d970434462eb2b843d7317ab577;Funk;English
Bruno Lomas;Ven sin temor;1972;1GaBkvgCLMbynbBakLq24J;29;0.647;0.66;0.46;9.32e-05;1;;0.695;233000;https://p.scdn.co/mp3-preview/5e2a03d29f495cbf25d04568ab4a6df76f8d4493?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Camilo Sesto;Algo De Mi;1972;1bDbdMiDaXpaDpqitYVriQ;48;0.0117;0.317;0.769;7.83e-05;1;;0.416;247733;https://p.scdn.co/mp3-preview/3e14ad82904b1f025dabb57b93097db95172c4eb?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Cecilia;Dama Dama;1972;50tK3gc47HHVffxRehbRuC;22;0.633;0.374;0.453;0;1;;0.828;198106;https://p.scdn.co/mp3-preview/0359cc9d2a578f14ad8c706c347f3ee9a42e0a3e?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Cecilia;Fui;1972;6SHLWwOVpR0LDXbwvdAn5q;6;0.448;0.402;0.493;0.000358;1;;0.762;133760;https://p.scdn.co/mp3-preview/2c565d7d41ff7e792d939c29154dc70f34158e96?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Cecilia;Nada de nada;1972;5yef17EBsxUQAsIi8oxYTD;7;0.654;0.484;0.528;0;1;;0.788;176666;https://p.scdn.co/mp3-preview/edd597f736992805274ee16d60e0a1a83f424cf6?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Chicory Tip;Son Of My Father;1972;3Jwalo4hQy4AHqtnyGUoMk;32;0.0698;0.62;0.47;0.00592;1;;0.387;187677;https://p.scdn.co/mp3-preview/0183c768ad4ae7a1af1745d51848fc5f5985e2c7?cid=516c2d970434462eb2b843d7317ab577;Pop;English
Fusioon;Danza del molinero;1972;1wNa16bWFZcXgpDaRsK9lO;1;0.369;0.395;0.56;0.9;1;;0.231;275346;https://p.scdn.co/mp3-preview/f89b0d3f5cfc3a327a3e9c9a650d1312a3200e3a?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Fusioon;Farsa del Buen Vivir;1972;7dUd6AcDnRqWCop64Fe4mC;0;0.243;0.612;0.432;0.0613;1;;0.686;195413;https://p.scdn.co/mp3-preview/754b6dfaaeba87922fd0c3316abc7f7a0c9d5894?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Hilario Camacho;Los cuatro luceros;1972;7ydFTGgR1T8azH36YozgH8;8;0.424;0.579;0.591;0;1;;0.588;147040;https://p.scdn.co/mp3-preview/2f54deb2b56c9d2e7386b52bf1e8acc0a33d7a9c?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Ia-Batiste;Anna;1972;13rkK2hFe7fZ9apBibMlaD;1;0.0147;0.534;0.757;0.000155;1;;0.65;225040;https://p.scdn.co/mp3-preview/58c8cdd0619ccfd756ad5afc5be2cce717482e63?cid=516c2d970434462eb2b843d7317ab577;Rock;Catalan
Jeanette;Estoy triste;1972;0Shy6CNCtziEUs98LLc07f;11;0.505;0.507;0.512;4.7e-05;1;;0.674;239653;;Pop;Spanish
Joan Manuel Serrat;El ball de la civada;1972;3axsIZ1n3wr4yYiytaJtDI;6;0.82;0.57;0.622;0;1;;0.962;154733;https://p.scdn.co/mp3-preview/596666692c2cbabb98b47eb039a2018578ff4f8a?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Catalan
Joan Manuel Serrat;Para la Libertad;1972;2MbBeecWBAEHAYEC37Gk6s;37;0.229;0.469;0.651;0;1;;0.844;170666;https://p.scdn.co/mp3-preview/07e0983b623efdfda0336fecce7c43b0c9e6cd52?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
José y Manuel;Descubrí el amor;1972;25axjc0Q2qb0wvPQRIqbgW;0;0.179;0.454;0.679;0.000568;1;;0.908;187173;https://p.scdn.co/mp3-preview/2cb1a0ffcdf6b1562c9ba4cecadb5ef1010096e4?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
